field_of_view,0,1,2,3
UC a_18,0.003620564808110065,0.001448225923244026,0.000724112961622013,0.9942070963070239
UC a_19,0.0,0.0020463847203274215,0.002728512960436562,0.995225102319236
UC a_2,0.003136981526664343,0.0,0.0585569884977344,0.9383060299756013
UC a_20,0.0,0.0025884383088869713,0.0008628127696289905,0.996548748921484
UC a_21,0.0,0.0006349206349206349,0.0,0.9993650793650793
UC a_22,0.0,0.0011855364552459987,0.0,0.998814463544754
UC a_5,0.003033367037411527,0.0010111223458038423,0.01314459049544995,0.9828109201213346
UC a_6,0.0006825938566552901,0.0,0.17986348122866894,0.8194539249146757
UC a_7,0.002094972067039106,0.0006983240223463687,0.06680633147113595,0.9304003724394786
UC a_8,0.0007968127490039841,0.0,0.19601593625498007,0.803187250996016
UC a_9,0.0005971931919976113,0.0008957897879964168,0.0005971931919976113,0.9979098238280084
UC b_1,0.0060818713450292395,0.00023391812865497077,0.008888888888888889,0.9847953216374269
UC b_10,0.0014914243102162564,0.0044742729306487695,0.005965697240865026,0.9880686055182699
UC b_11,0.003067484662576687,0.005368098159509203,0.007668711656441718,0.9838957055214724
UC b_12,0.0,0.0012195121951219512,0.00853658536585366,0.9902439024390244
UC b_14,0.0045901639344262295,0.0,0.008961748633879782,0.986448087431694
UC b_15,0.0002767783005812344,0.0,0.010240797121505675,0.9894824245779131
UC b_16,0.009172521467603435,0.000195160031225605,0.00663544106167057,0.9839968774395004
UC b_17,0.003000300030003,0.0,0.009900990099009901,0.9870987098709871
UC b_18,0.009471432936144211,0.0012221203788573174,0.007332722273143905,0.9819737244118546
UC b_2,0.0054042818540843895,0.0,0.006235709831635835,0.9883600083142797
UC b_20,0.005292005292005292,0.0,0.01323001323001323,0.9814779814779815
UC b_21,0.009140008309098464,0.0,0.0062318238471125885,0.9846281678437889
UC b_22,0.007221115537848605,0.0,0.007221115537848605,0.9855577689243028
UC b_23,0.010810810810810811,0.0002574002574002574,0.004375804375804376,0.9845559845559846
UC b_24,0.014857142857142857,0.00045714285714285713,0.005485714285714286,0.9792
UC b_3,0.0035328753680078507,0.0011776251226692837,0.006280667320902846,0.9890088321884201
UC b_4,0.0017395626242544733,0.0007455268389662028,0.00720675944333996,0.9903081510934394
UC b_5,0.004665629860031105,0.003110419906687403,0.005184033177812338,0.9870399170554691
UC b_6,0.004619907601847963,0.0008399832003359933,0.0033599328013439733,0.991180176396472
UC b_7,0.0013360053440213762,0.00033400133600534405,0.006012024048096192,0.9923179692718771
UC b_8,0.005635390250774866,0.0005635390250774866,0.006198929275852353,0.9876021414482953
UC b_9,0.010298661174047374,0.006179196704428424,0.003089598352214212,0.98043254376931
UC c_1,0.0,0.00044583147570218456,0.17298261257244762,0.8265715559518502
UC c_10,0.0,0.0006163328197226503,0.2850539291217257,0.7143297380585516
UC c_11,0.0,0.00030339805825242716,0.31978155339805825,0.6799150485436893
UC c_12,0.0,0.000691085003455425,0.45162404975812026,0.5476848652384243
UC c_13,0.0,0.0,0.08346456692913386,0.9165354330708662
