field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-3,enrichment_3-4,enrichment_4-4,Disease/Health State
UC a_2,-0.7389049057492352,0.0,-3.753421941966097,0.2125748484775433,0.0,0.0,0.0,2.4499582814164955,-0.949079396409119,0.0594685854699632,UC a
UC a_20,0.0,0.0,0.0,0.0,-0.134694602441013,-0.0463096266468708,-0.4153949979237373,-0.0156022943734909,-0.9537973328783969,0.0032428810306128,UC a
UC a_21,0.0,0.0,0.0,0.0,-0.0109664607251175,0.0,-0.2421337883149225,0.0,0.0,0.0003073502963992,UC a
UC a_22,0.0,0.0,0.0,0.0,-0.0460602821256169,0.0,-0.3008042275313113,0.0,0.0,0.0006699772801029,UC a
UC a_5,3.1576544266520576,-0.3803685442551568,-2.2991761634563623,-0.061236693637616,-0.138235323426872,-1.206177737108738,-0.1498655995143273,3.8694492505146463,-0.9223195738674758,0.0150503187415688,UC a
UC a_6,-0.0447541909416103,0.0,-1.632610021846478,0.3358088033943621,0.0,0.0,0.0,1.5369552566033535,-0.7332740819900987,0.1151658020011417,UC a
UC a_7,-0.5498158167185926,-0.207434278098545,-3.981233173980341,-0.0715927019002743,-0.0725096442387521,-2.568292973731399,0.1993754073768726,2.491767201644917,-0.587452725212094,0.0350334236136986,UC a
UC a_8,-0.0849596620273099,0.0,-3.992939591932971,0.1509963583702706,0.0,0.0,0.0,1.5746637076654402,-0.9336698908075666,0.1569944097145039,UC a
UC a_9,-0.0371597536875284,-0.0553867627389181,-0.0371597536875284,-0.2694968558379701,-0.0823026423021875,-0.0553867627389181,-0.965626749115123,-0.0371597536875284,-0.0866327986881595,0.0016923866623872,UC a
UC b_1,0.8244725397733182,-0.2103983397152613,-2.800390275171043,0.0408192412483003,-0.0086858805359098,-0.2980396357262675,-0.2642991340650317,-0.1110254486566999,-0.0688682402561199,0.0009502786390777,UC b
UC b_10,-0.0685895694066074,-0.1966987302279367,-0.2567254038361987,0.98877542990959,-0.5242828711846236,-0.6638376535633671,-0.3634404168695113,-0.8311112008099307,-0.5632802071202317,0.0043973163261438,UC b
UC b_11,2.935651167783621,-0.3879694681897886,-0.5268563228700228,0.723039477891965,-0.6228958400763196,-0.824870433076319,-0.2004442300081278,-1.071739084025009,-0.3987373964090635,0.0013247434809413,UC b
