field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-1,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-1,enrichment_3-2,enrichment_3-3,enrichment_3-4,enrichment_4-1,enrichment_4-2,enrichment_4-3,enrichment_4-4
CD b_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD b_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD b_3,-0.007692126544395848,0.0,-0.007692126544395848,0.044046847891506674,0.0,0.0,0.0,0.0,-0.007692126544395848,0.0,-0.007692126544395848,-0.7633080741660974,0.044046847891506674,0.0,-0.7633080741660974,0.00023278289250052166
CD b_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01006140027983869,-0.888109978599866,0.0,0.0,-0.888109978599866,0.0004200570296515217
CD b_5,-0.011074596930183861,0.0,0.0,-0.3594407402099281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3594407402099281,0.0,0.0,0.00023214728523318683
CD b_6,-0.03297554919622439,0.0,0.0,-0.012219025472225257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012219025472225257,0.0,0.0,1.1440891185117998e-05
CD b_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD b_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD b_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD c_1,2.9476246811016797,0.0,-1.0219528283158295,0.1757198323516024,0.0,0.0,0.0,0.0,-1.0219528283158295,0.0,1.9147790982800965,-0.748969795623566,0.1757198323516024,0.0,-0.748969795623566,0.015228582946085364
CD c_10,1.916314359062598,0.0,-4.041069355170048,0.21562779311792726,0.0,0.0,0.0,0.0,-4.041069355170048,0.0,2.283945023875391,-0.9863476879083112,0.21562779311792726,0.0,-0.9863476879083112,0.08414180027005955
CD c_11,2.7218344406163193,0.0,-2.115673641782304,0.15954223951631408,0.0,0.0,0.0,0.0,-2.115673641782304,0.0,1.916619245591302,-0.8345002113213733,0.15954223951631408,0.0,-0.8345002113213733,0.08777138103215999
CD c_12,2.659488236541168,0.0,-3.345629652115008,0.047279923384666044,0.0,0.0,0.0,0.0,-3.345629652115008,0.0,2.402740743454775,-0.4756447656852159,0.047279923384666044,0.0,-0.4756447656852159,0.014001376338384934
